Date,Country_Code,No_Of_Confirmed,New_Confirmed,No_Of_Death,New_Death,Total_Recovered,Active_Cases,Serious_Critical,Total_Cases_1M_pop,Death_Cases_1M_pop,Test_1M pop,Proviance_Code,System_Date
28-04-2020,Turks and Caicos,12.0,,1.0,,5.0,6.0,,83.0,26.0,2144.0,North America,1588052500957
28-04-2020,Burundi,11.0,,1.0,,4.0,6.0,,284.0,0.08,24.0,Africa,1588052500957
28-04-2020,Montserrat,11.0,,1.0,,2.0,8.0,1.0,36.0,200.0,7212.0,North America,1588052500957
28-04-2020,Greenland,11.0,,,,11.0,0.0,,1200.0,,21138.0,North America,1588052500957
28-04-2020,Seychelles,11.0,,,,6.0,5.0,,,,,Africa,1588052500957
28-04-2020,Gambia,10.0,,1.0,,8.0,1.0,,401.0,0.4,166.0,Africa,1588052500957
28-04-2020,Suriname,10.0,,1.0,,7.0,2.0,,404.0,2.0,689.0,South America,1588052500957
28-04-2020,MS Zaandam,9.0,,2.0,,,7.0,,,,,,1588052500957
28-04-2020,Vatican City,9.0,,,,2.0,7.0,,,,,Europe,1588052500957
28-04-2020,Papua New Guinea,8.0,,,,,8.0,,604.0,,68.0,Australia/Oceania,1588052500957
28-04-2020,Mauritania,7.0,,1.0,,6.0,0.0,,1032.0,0.2,222.0,Africa,1588052500957
28-04-2020,Bhutan,7.0,,,,5.0,2.0,,9865.0,,12785.0,Asia,1588052500957
28-04-2020,British Virgin Islands,6.0,,1.0,,3.0,2.0,,,33.0,,North America,1588052500957
28-04-2020,St. Barth,6.0,,,,6.0,0.0,,,,,North America,1588052500957
28-04-2020,South Sudan,6.0,,,,,6.0,,,,,Africa,1588052500957
28-04-2020,Western Sahara,6.0,,,,5.0,1.0,,,,,Africa,1588052500957
28-04-2020,Caribbean Netherlands,5.0,,,,,5.0,,110.0,,4195.0,North America,1588052500957
28-04-2020,Sao Tome and Principe,4.0,,,,,4.0,,19.0,,87.0,Africa,1588052500957
28-04-2020,Anguilla,3.0,,,,3.0,0.0,,,,,North America,1588052500957
28-04-2020,Saint Pierre Miquelon,1.0,,,,,1.0,,,,,North America,1588052500957
28-04-2020,Yemen,1.0,,,,1.0,0.0,,120.0,,4.0,Asia,1588052500957
