State/Region,No. of facilities,Total no. of quaranitine people,Date,Remark
Kayin,419,3097,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Yangon,82,2505,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Mon,169,1745,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Shan (S),221,1641,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Shan (N),205,1426,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Ayeyarwaddy,211,1200,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Tanintharyi,228,969,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Naypyitaw,3,968,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Shan (E),21,935,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Rakhine,139,737,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Kayar,15,71,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Chin,17,61,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Sagaing,1446,15518,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Magway,1879,8696,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Bago,817,5418,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Mandalay,795,4476,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Kachin,286,3198,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Kayin,421,3164,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Yangon,77,2568,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Mon,169,1745,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Shan (S),218,1655,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
